Eastern Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Boston Celtics,59.4,21.6,.733,1.70,-0.62,11.07,15-4,44-18,72-9,46-35,100.0%,83.3%,82.2,15.2,2.0,0.4,0.1,,,,,100.0,,,,,,,48.5%,34.6%
Philadelphia 76ers,55.0,27.0,.670,1.85,-0.85,8.85,12-7,43-20,68-14,41-41,99.9%,15.8%,15.4,58.3,16.2,5.9,2.6,1.0,0.4,0.2,,99.3,0.4,0.2,,,,,28.2%,17.1%
Orlando Magic,49.0,33.0,.598,-0.95,0.07,3.35,14-6,35-27,63-19,37-45,94.7%,80.2%,1.2,10.3,23.8,22.1,16.2,11.1,6.2,3.8,,84.7,6.6,4.4,2.5,1.4,0.4,,4.5%,1.9%
New York Knicks,48.5,32.5,.599,-0.57,0.43,4.85,12-7,36-26,63-18,35-46,94.8%,0.8%,0.8,8.3,23.8,22.2,16.8,12.0,6.8,4.2,,83.8,7.2,4.5,2.6,1.4,0.6,,7.5%,3.2%
Milwaukee Bucks,47.1,33.9,.582,-0.61,0.36,2.39,14-6,33-28,61-20,33-48,88.9%,65.8%,0.4,4.9,17.8,17.9,18.1,13.7,9.1,7.0,,72.8,10.7,7.4,4.8,3.1,1.2,,3.1%,1.1%
Brooklyn Nets,45.6,36.4,.556,0.71,0.01,3.40,10-9,36-27,62-20,31-51,78.4%,0.1%,0.1,1.4,6.7,11.8,15.2,17.1,14.5,11.7,,52.2,14.8,12.4,10.0,6.9,3.8,,3.8%,1.4%
Indiana Pacers,43.3,37.7,.534,-0.92,0.43,1.91,10-8,33-30,57-24,29-52,63.1%,21.2%,,0.6,3.7,6.7,9.6,13.0,14.6,15.0,,33.6,14.8,15.2,14.5,12.7,9.3,,1.4%,0.4%
Miami Heat,43.0,39.0,.524,-0.42,0.09,0.69,11-9,32-30,57-25,30-52,54.4%,11.3%,,0.5,2.3,4.6,7.0,10.3,14.4,15.4,,24.6,14.3,16.2,16.4,15.7,12.8,,1.0%,0.3%
Cleveland Cavaliers,42.7,39.3,.521,0.84,-0.11,0.49,11-9,32-30,57-25,28-54,52.5%,13.0%,,0.3,1.8,4.4,6.9,10.2,13.7,15.3,,23.5,13.3,15.7,17.1,16.2,14.2,,0.8%,0.2%
Atlanta Hawks,42.2,39.8,.515,0.91,0.06,1.28,9-10,33-30,56-26,28-54,48.7%,8.5%,,0.3,1.5,3.3,5.8,8.4,13.7,15.8,,19.2,12.3,14.7,17.2,19.1,17.5,,1.0%,0.3%
Toronto Raptors,39.7,42.3,.484,1.09,0.03,-0.21,9-11,31-31,53-29,26-56,23.7%,,,,0.4,0.8,1.8,3.3,6.5,11.0,,6.2,5.6,9.0,13.9,20.7,44.6,,0.2%,0.1%
Chicago Bulls,32.5,49.5,.397,1.31,-0.30,-4.12,7-14,26-35,47-35,18-64,0.9%,,,,,,,,0.2,0.7,,,0.1,0.3,1.1,2.5,95.9,,,
Charlotte Hornets,28.3,53.7,.345,0.99,0.40,-7.34,6-12,22-42,42-40,16-66,,,,,,,,,,,,,,,,0.3,99.7,,,
Washington Wizards,24.0,58.0,.292,0.28,0.67,-8.03,3-16,21-42,39-43,12-70,,,,,,,,,,,,,,,,,100.0,,,
Detroit Pistons,21.5,60.5,.262,0.17,0.56,-8.78,2-18,20-42,37-45,10-72,,,,,,,,,,,,,,,,,100.0,,,
