Western Conference,W,L,W/L%,SOS,rSOS,SRS,Current,Remain,Best,Worst,Playoffs,Division,1,2,3,4,5,6,7,8,,1-6,7,8,9,10,Out,,Win Conf,Win Finals
Minnesota Timberwolves,56.1,25.9,.685,0.20,-0.88,7.15,15-4,41-22,70-12,41-41,100.0%,60.4%,59.9,30.1,7.5,1.7,0.5,0.2,,,,99.9,,,,,,,32.3%,14.3%
Oklahoma City Thunder,54.7,27.3,.667,-0.42,-0.59,7.95,13-6,42-21,68-14,39-43,100.0%,34.5%,34.1,45.5,14.9,3.6,1.3,0.4,0.1,0.1,,99.8,0.1,0.1,0.1,,,,37.2%,17.7%
Denver Nuggets,49.9,32.1,.609,-0.34,-0.42,3.75,14-7,36-25,66-16,33-49,98.2%,5.2%,5.1,17.5,40.4,17.6,8.9,5.0,2.5,1.4,,94.3,2.7,1.6,0.9,0.4,0.2,,11.2%,3.5%
Houston Rockets,44.1,37.9,.537,-0.50,-0.45,2.32,8-9,36-29,58-24,27-55,73.1%,45.3%,0.2,1.6,8.1,13.1,15.1,12.4,11.5,11.1,,50.5,11.7,10.4,10.6,8.9,8.0,,4.2%,1.0%
Golden State Warriors,43.9,38.1,.535,1.66,-1.00,2.01,9-11,35-27,58-24,29-53,73.3%,27.8%,0.2,1.5,6.8,13.1,12.9,13.9,13.1,11.9,,48.3,12.8,12.1,10.7,8.8,7.3,,4.4%,1.1%
Phoenix Suns,43.0,38.0,.531,-2.31,0.22,0.59,12-8,31-30,58-23,29-52,67.5%,23.3%,0.1,0.8,5.3,11.5,12.3,13.2,12.6,11.7,,43.2,13.4,12.7,11.7,9.9,9.1,,2.1%,0.4%
Sacramento Kings,42.7,38.3,.527,0.24,0.05,0.02,11-7,32-31,57-24,28-53,64.7%,22.3%,0.1,0.8,4.7,10.8,11.7,12.6,12.4,11.7,,40.7,12.8,12.5,12.5,11.6,10.0,,1.7%,0.2%
New Orleans Pelicans,42.7,38.3,.527,0.13,-0.50,0.94,11-10,32-28,60-21,29-52,67.6%,34.2%,0.1,0.7,4.8,10.4,12.4,13.1,13.6,12.5,,41.5,12.8,13.1,11.4,11.6,9.6,,2.3%,0.5%
Los Angeles Clippers,42.5,39.5,.518,-1.67,0.14,1.59,9-10,34-29,58-24,28-54,60.7%,17.1%,0.1,0.7,3.5,8.2,9.6,11.4,12.9,14.2,,33.6,12.6,12.8,13.7,13.9,13.5,,2.9%,0.7%
Dallas Mavericks,41.7,40.3,.508,-0.98,-0.02,-0.77,11-8,31-32,55-27,28-54,50.0%,20.5%,,0.5,2.6,5.6,8.4,9.7,10.7,12.5,,26.7,10.6,12.3,14.3,16.7,19.5,,1.0%,0.2%
Los Angeles Lakers,40.7,40.3,.502,-0.11,0.19,-1.06,12-9,29-31,56-25,26-55,45.0%,9.5%,,0.3,1.6,4.5,7.0,8.2,10.6,12.8,,21.6,10.7,12.4,14.2,17.9,23.3,,0.7%,0.1%
Utah Jazz,27.6,54.4,.336,-1.16,0.88,-7.56,7-13,21-41,43-39,15-67,,,,,,,,,,,,,,,0.1,0.2,99.7,,,
Portland Trail Blazers,27.1,54.9,.330,-1.13,0.73,-7.86,6-13,21-42,41-41,11-71,,,,,,,,,,,,,,,,0.1,99.9,,,
Memphis Grizzlies,26.5,55.5,.323,-1.64,0.51,-7.64,5-14,21-42,41-41,13-69,,,,,,,,,,,,,,,,0.1,99.9,,,
San Antonio Spurs,21.1,60.9,.257,1.59,0.09,-10.83,3-16,18-45,36-46,9-73,,,,,,,,,,,,,,,,,100.0,,,
